,Borough,Neighborhood,ID,dd,Name,Likes,Rating,Tips
38,Manhattan,Upper West Side,4b0dec08f964a520ae5223e3,1,Alachi Masala,18,7.8,17
39,Manhattan,Upper West Side,42489a80f964a5208b201fe3,1,Swagat,105,8.3,38
40,Manhattan,Upper West Side,591890f43abcaf1ddca66e85,1,Ashoka,19,8.2,9
41,Manhattan,Midtown,49d91c12f964a520015e1fe3,2,The Kati Roll Company,836,8.7,259
42,Manhattan,Murray Hill,59fcd48c464d6567ed2f5e37,3,The Kati Roll Company,18,8.6,2
43,Manhattan,Greenwich Village,5b5a2c9e66f3cd002ca0aab5,2,The Drunken Munkey,25,8.9,3
44,Manhattan,Tribeca,4bbb9dbded7776b0e1ad3e51,2,Tamarind TriBeCa,589,9,146
45,Manhattan,West Village,5b5a2c9e66f3cd002ca0aab5,2,The Drunken Munkey,25,8.9,3
46,Manhattan,West Village,591794df2be42556988e4a8e,1,Rahi,105,8.8,19
47,Manhattan,Manhattan Valley,424de080f964a520ae201fe3,1,Manhattan Valley,42,7.9,30
48,Manhattan,Manhattan Valley,4d24b812836f5481518645f7,1,Doaba Deli,41,7.4,13
49,Manhattan,Manhattan Valley,49c5ad0af964a5201b571fe3,2,Roti Roll,114,7.9,58
50,Manhattan,Manhattan Valley,538ba1f2498e279098e4210a,1,Awadh,49,8,13
51,Manhattan,Manhattan Valley,4ad12c9df964a52040dd20e3,1,Aangan,35,7.5,14
52,Manhattan,Morningside Heights,49c5ad0af964a5201b571fe3,2,Roti Roll,114,7.9,58
53,Manhattan,Gramercy,57f7cbbe498edf8f07c7ba83,1,Sahib,59,8.7,13
54,Manhattan,Gramercy,4a70a75bf964a52016d81fe3,1,Bhatti Indian Grill,404,9,156
55,Manhattan,Gramercy,523b2b42498e1dfabcc8ab15,1,Pippali,284,8.9,73
56,Queens,Astoria,4aa56c81f964a5204e4820e3,1,Seva Indian Cuisine,231,9.2,126
57,Queens,Woodside,4afdcf29f964a520162b22e3,2,Rajbhog Sweets,37,8.7,25
58,Queens,Woodside,4b998d3ff964a520fc8235e3,2,Maharaja Sweets & Snacks,48,8.3,20
59,Queens,Woodside,4c7060e734443704ca0e245f,1,Kababish,28,7.6,17
60,Queens,Woodside,49ebb18ff964a52016671fe3,2,Delhi Heights,33,8,23
61,Queens,Woodside,3fd66200f964a52009f11ee3,2,Jackson Diner,137,8.1,75
